Time,Roll,RollRate,Pitch,PitchRate,Yaw,YawRate,Aileron,Elevator,Rudder
0.0,9.998511149008168,-0.05212630032102924,5.002356947561389,-0.03393519964317826,1.9974177062037661,-0.010576871524633462,-0.6,-0.6,-0.6
0.01,9.997089070623273,-0.10989736557733719,5.000453148374507,-0.07580663103441387,1.9979466665354764,-0.026069832530743506,-1.2,-1.2,-1.2
0.02,9.99750509237706,-0.17298638458195004,4.998116225957831,-0.1260219847638365,1.9969743271100855,-0.04636393893828279,-1.7999999999999998,-1.7999999999999998,-1.7999999999999998
0.03,9.99526952686224,-0.2393495516886967,4.996497570744001,-0.18377520004569528,1.9964492281909434,-0.07086107931699262,-2.4,-2.4,-2.4
0.04,9.991954043445734,-0.3098378995251527,4.995617061919482,-0.24700975698790253,1.9948577570283996,-0.10007882078256579,-3.0,-3.0,-3.0
0.05,9.987410469382237,-0.38647571626369864,4.993266288877577,-0.3173515847745283,1.9949757241441466,-0.13578454768048948,-3.5999999999999996,-3.5999999999999996,-3.5999999999999996
0.06,9.986401994267622,-0.46752655750213246,4.990764695419425,-0.3958882842346825,1.9929094977512591,-0.1785000161992808,-4.199999999999999,-4.199999999999999,-4.199999999999999
0.07,9.978967727396071,-0.5556752323427661,4.987616062523387,-0.48270900751715057,1.9898589780448335,-0.22700592783618068,-4.8,-4.8,-4.8
0.08,9.97304394691367,-0.6481496581820569,4.98234401433525,-0.5750323991660508,1.9879101642110895,-0.27910790332754604,-5.3999999999999995,-5.3999999999999995,-5.3999999999999995
0.09,9.965025013988488,-0.746242605979108,4.975751728280009,-0.6715724405040224,1.9842985985463595,-0.33801000158633643,-6.0,-6.0,-6.0
0.1,9.958324637324687,-0.8499429941452478,4.969685761901168,-0.7756062273617307,1.9809797721176279,-0.3990123063386283,-6.6,-6.6,-6.6
0.11,9.949431105715366,-0.9565792002726825,4.959565873660483,-0.8873952610672501,1.9777675924621003,-0.4652126761465989,-7.199999999999999,-7.199999999999999,-7.199999999999999
0.12,9.938280433822287,-1.0697999494177644,4.947829587207549,-1.0046224321374901,1.9741711409871923,-0.5362304083248748,-7.799999999999998,-7.799999999999998,-7.799999999999998
0.13,9.926494653640791,-1.1842561347731686,4.93841225085013,-1.1269389192098451,1.9685878994250607,-0.6144855916915813,-8.399999999999997,-8.399999999999997,-8.399999999999997
0.14,9.913162784231119,-1.3025885497099314,4.927251521535399,-1.2545209910234814,1.9618020049520568,-0.6978896640260097,-8.999999999999996,-8.999999999999996,-8.999999999999996
0.15,9.899832805752121,-1.4302108361160346,4.914393285755238,-1.3911351192125934,1.9550609933940883,-0.7858683924524624,-9.599999999999996,-9.599999999999996,-9.599999999999996
0.16,9.882308593153507,-1.5628345730104922,4.902279593210261,-1.5331037058167656,1.9446279684764232,-0.8796643661797661,-10.199999999999996,-10.199999999999996,-10.199999999999996
0.17,9.865660216672547,-1.699048668721512,4.88704839336472,-1.6800501944241955,1.9344779890522965,-0.975492052684177,-10.799999999999995,-10.799999999999995,-10.799999999999995
0.18,9.846610870842376,-1.839572589709272,4.869900261578766,-1.8335201321685428,1.9242147387451414,-1.0759662641183037,-11.399999999999993,-11.399999999999993,-11.399999999999993
0.19,9.827134002245186,-1.9831305997969402,4.849983771226826,-1.991158172824802,1.9126866128402265,-1.18259710110871,-11.999999999999993,-11.999999999999993,-11.999999999999993
0.2,9.807947757345504,-2.1300085302437095,4.83017319193763,-2.1540009024249547,1.8996603933965506,-1.2874994283101062,-12.599999999999993,-12.599999999999993,-11.99531136911011
0.21,9.785283102568947,-2.2825825015651713,4.808842822377999,-2.3229370845413326,1.8862297925078682,-1.3859625803560758,-13.199999999999992,-13.199999999999992,-11.395311369110111
